candidate_id,relevance_grade
CAND_0042317,0
CAND_0016050,0
CAND_0018764,0
CAND_0082862,0
CAND_0010465,0
CAND_0035867,0
CAND_0091969,0
CAND_0033922,0
CAND_0090135,0
CAND_0065786,1
CAND_0062410,0
CAND_0015493,1
CAND_0062826,0
CAND_0073055,0
CAND_0077091,0
CAND_0060566,0
CAND_0037511,0
CAND_0008375,0
CAND_0037329,0
CAND_0076453,1
CAND_0012444,0
CAND_0059942,0
CAND_0016956,0
CAND_0047280,0
CAND_0010108,0
CAND_0002856,0
CAND_0080609,0
CAND_0008799,0
CAND_0075469,0
CAND_0031829,0
CAND_0084584,0
CAND_0031143,1
CAND_0007090,0
CAND_0049527,0
CAND_0007701,0
CAND_0052370,0
CAND_0055987,0
CAND_0077260,0
CAND_0082612,0
CAND_0011758,0
CAND_0005755,0
CAND_0049220,0
CAND_0026578,0
CAND_0075148,0
CAND_0060902,0
CAND_0088155,0
CAND_0093331,1
CAND_0096583,0
CAND_0045926,0
CAND_0051854,0
CAND_0037113,0
CAND_0096209,1
CAND_0050398,1
CAND_0080187,0
CAND_0089318,0
CAND_0084749,0
CAND_0051297,0
CAND_0015157,0
CAND_0079178,0
CAND_0060289,0
CAND_0057117,0
CAND_0079064,2
CAND_0008628,0
CAND_0019228,0
CAND_0084089,0
CAND_0025371,0
CAND_0063621,0
CAND_0014781,0
CAND_0011057,0
CAND_0047048,0
CAND_0086572,0
CAND_0027872,0
CAND_0052201,1
CAND_0080590,0
CAND_0063725,0
CAND_0032431,0
CAND_0008933,0
CAND_0015282,0
CAND_0074818,0
CAND_0049104,0
CAND_0004877,0
CAND_0026007,0
CAND_0000981,1
CAND_0056533,0
CAND_0065318,0
CAND_0089048,0
CAND_0035151,0
CAND_0052065,0
CAND_0043539,0
CAND_0000201,0
CAND_0044488,0
CAND_0024466,2
CAND_0049994,0
CAND_0068777,1
CAND_0089895,0
CAND_0051004,2
CAND_0015293,0
CAND_0033456,0
CAND_0013085,0
CAND_0053774,0
CAND_0049246,0
CAND_0056952,0
CAND_0054488,0
CAND_0044393,0
CAND_0035292,0
CAND_0014625,0
CAND_0007448,0
CAND_0016165,0
CAND_0087477,0
CAND_0010037,0
CAND_0037672,0
CAND_0017988,0
CAND_0073548,0
CAND_0056811,1
CAND_0074036,0
CAND_0031079,0
CAND_0022059,0
CAND_0014601,0
