candidate_id,rank,cross_encoder_score,honeypot_flag,honeypot_reasons
CAND_0002025,1,0.981595,False,
CAND_0005538,2,0.980692,False,
CAND_0071974,3,0.972571,False,
CAND_0006567,4,0.947866,False,
CAND_0068351,5,0.946300,False,
CAND_0046525,6,0.946001,False,
CAND_0081846,7,0.939025,False,
CAND_0055905,8,0.931088,False,
CAND_0018499,9,0.918480,False,
CAND_0094759,10,0.912903,False,
CAND_0037980,11,0.909586,False,
CAND_0088025,12,0.907640,False,
CAND_0093193,13,0.899121,False,
CAND_0060072,14,0.897516,False,
CAND_0099806,15,0.887400,False,
CAND_0007411,16,0.883437,False,
CAND_0077337,17,0.878731,False,
CAND_0041611,18,0.869715,False,
CAND_0055992,19,0.863046,False,
CAND_0020350,20,0.826292,False,
CAND_0044883,21,0.820469,False,
CAND_0098846,22,0.819749,False,
CAND_0062247,23,0.804866,False,
CAND_0039754,24,0.782829,False,
CAND_0092278,25,0.782164,False,
CAND_0033861,26,0.778649,False,
CAND_0086022,27,0.754553,False,
CAND_0007460,28,0.744471,False,
CAND_0060886,29,0.740174,False,
CAND_0053591,30,0.736780,False,
CAND_0044222,31,0.735452,False,
CAND_0061257,32,0.728169,False,
CAND_0060054,33,0.725260,False,
CAND_0080766,34,0.716318,False,
CAND_0064904,35,0.711832,False,
CAND_0008239,36,0.710628,False,
CAND_0024620,37,0.692226,False,
CAND_0091534,38,0.690037,False,
CAND_0015578,39,0.687735,False,
CAND_0010541,40,0.670500,False,
CAND_0078785,41,0.668772,False,
CAND_0030468,42,0.662469,False,
CAND_0036484,43,0.662032,False,
CAND_0051936,44,0.658527,False,
CAND_0058575,45,0.655887,False,
CAND_0024630,46,0.650911,False,
CAND_0030031,47,0.633637,False,
CAND_0087804,48,0.628977,False,
CAND_0074325,49,0.628635,False,
CAND_0097896,50,0.604866,False,
CAND_0052712,51,0.600716,False,
CAND_0018888,52,0.597843,False,
CAND_0023076,53,0.595257,False,
CAND_0074648,54,0.594139,False,
CAND_0016657,55,0.590602,False,
CAND_0087630,56,0.585575,False,
CAND_0050454,57,0.582788,False,
CAND_0049978,58,0.577555,False,
CAND_0046064,59,0.574932,False,
CAND_0092568,60,0.572125,False,
CAND_0058688,61,0.570870,False,
CAND_0021827,62,0.559019,False,
CAND_0008425,63,0.551755,False,
CAND_0005269,64,0.544196,False,
CAND_0006418,65,0.539802,False,
CAND_0019288,66,0.537800,False,
CAND_0092596,67,0.520862,False,
CAND_0043312,68,0.513013,False,
CAND_0042506,69,0.500468,False,
CAND_0075175,70,0.489931,False,
CAND_0011643,71,0.488680,False,
CAND_0012632,72,0.464750,False,
CAND_0022274,73,0.464719,False,
CAND_0009236,74,0.463717,False,
CAND_0025046,75,0.463596,False,
CAND_0079550,76,0.463171,False,
CAND_0070398,77,0.461077,False,
CAND_0009200,78,0.457773,False,
CAND_0076412,79,0.457106,False,
CAND_0036437,80,0.456652,False,
CAND_0033839,81,0.455229,False,
CAND_0018961,82,0.454079,False,
CAND_0079387,83,0.451659,False,
CAND_0003100,84,0.447098,False,
CAND_0060835,85,0.446253,False,
CAND_0048265,86,0.440319,False,
CAND_0040310,87,0.437283,False,
CAND_0064326,88,0.437163,False,
CAND_0016170,89,0.435541,False,
CAND_0040946,90,0.434281,False,
CAND_0077261,91,0.431524,False,
CAND_0061156,92,0.429489,False,
CAND_0013122,93,0.427994,False,
CAND_0007631,94,0.426799,False,
CAND_0011687,95,0.426560,False,
CAND_0072784,96,0.423041,False,
CAND_0076831,97,0.421671,False,
CAND_0042441,98,0.421254,False,
CAND_0065517,99,0.414366,False,
CAND_0008628,100,0.410461,False,
CAND_0090419,101,0.407805,False,
CAND_0020726,102,0.405037,False,
CAND_0073007,103,0.398875,False,
CAND_0080315,104,0.397997,False,
CAND_0072803,105,0.395835,False,
CAND_0029439,106,0.395776,False,
CAND_0004402,107,0.393560,False,
CAND_0024947,108,0.391522,False,
CAND_0042425,109,0.387632,False,
CAND_0000705,110,0.379896,False,
CAND_0045862,111,0.378459,False,
CAND_0020845,112,0.373533,False,
CAND_0080597,113,0.370339,False,
CAND_0019845,114,0.369543,False,
CAND_0078856,115,0.365683,False,
CAND_0070653,116,0.365230,False,
CAND_0009516,117,0.364551,False,
CAND_0022023,118,0.364099,False,
CAND_0096104,119,0.364099,False,
CAND_0016267,120,0.360264,False,
CAND_0039308,121,0.357568,False,
CAND_0019880,122,0.357343,False,
CAND_0075138,123,0.354433,False,
CAND_0034169,124,0.354321,False,
CAND_0057701,125,0.349644,False,
CAND_0098952,126,0.349089,False,
CAND_0024878,127,0.348313,False,
CAND_0075574,128,0.347094,False,
CAND_0010000,129,0.346873,False,
CAND_0027218,130,0.346762,False,
CAND_0075491,131,0.340595,False,
CAND_0052706,132,0.337313,False,
CAND_0079176,133,0.336440,False,
CAND_0093401,134,0.331012,False,
CAND_0070525,135,0.330255,False,
CAND_0041568,136,0.329392,False,
CAND_0098780,137,0.329068,False,
CAND_0076251,138,0.328206,False,
