candidate_id,cross_encoder_score
CAND_0000001,0.004232
CAND_0000004,0.005261
CAND_0000007,0.004486
CAND_0000010,0.004215
CAND_0000013,0.011201
CAND_0000016,0.002673
CAND_0000019,0.003173
CAND_0000022,0.007205
CAND_0000025,0.002226
CAND_0000028,0.001156
CAND_0000031,0.168720
CAND_0000034,0.001694
CAND_0000037,0.001394
CAND_0000040,0.005281
CAND_0000043,0.008156
CAND_0000046,0.002191
CAND_0000049,0.001927
CAND_0000052,0.005911
CAND_0000055,0.011376
CAND_0000058,0.002011
CAND_0000061,0.008000
CAND_0000064,0.001846
CAND_0000067,0.001988
CAND_0000070,0.001090
CAND_0000073,0.005343
CAND_0000076,0.009559
CAND_0000079,0.010611
CAND_0000082,0.002482
CAND_0000085,0.004298
CAND_0000088,0.002704
CAND_0000091,0.002434
CAND_0000094,0.000944
CAND_0000097,0.019531
CAND_0000100,0.006169
CAND_0000103,0.002823
CAND_0000106,0.003884
CAND_0000109,0.006615
CAND_0000112,0.032406
CAND_0000115,0.001904
CAND_0000118,0.002157
CAND_0000121,0.010653
CAND_0000124,0.005080
CAND_0000127,0.002736
CAND_0000130,0.004849
CAND_0000133,0.011158
CAND_0000136,0.005041
CAND_0000139,0.003222
CAND_0000142,0.003185
CAND_0000145,0.000776
CAND_0000148,0.002642
CAND_0000151,0.011553
CAND_0000154,0.001490
CAND_0000157,0.004628
CAND_0000160,0.001694
CAND_0000163,0.001636
CAND_0000166,0.003566
CAND_0000169,0.003751
CAND_0000172,0.002581
CAND_0000175,0.005642
CAND_0000178,0.001748
CAND_0000181,0.001714
CAND_0000184,0.005448
CAND_0000187,0.008156
CAND_0000190,0.005865
CAND_0000193,0.001472
CAND_0000196,0.004963
CAND_0000199,0.003930
CAND_0000202,0.006641
CAND_0000205,0.006693
CAND_0000208,0.005775
CAND_0000211,0.023021
CAND_0000214,0.000656
CAND_0000217,0.003136
CAND_0000220,0.017376
CAND_0000223,0.001897
CAND_0000226,0.004737
CAND_0000229,0.035948
CAND_0000232,0.002946
CAND_0000235,0.002296
CAND_0000238,0.006824
CAND_0000241,0.001120
CAND_0000244,0.003337
CAND_0000247,0.005911
CAND_0000250,0.002561
CAND_0000253,0.002059
CAND_0000256,0.002091
CAND_0000259,0.003636
CAND_0000262,0.008779
CAND_0000265,0.000970
CAND_0000268,0.003594
CAND_0000271,0.002812
CAND_0000274,0.002323
CAND_0000277,0.003248
CAND_0000280,0.002035
CAND_0000283,0.001573
CAND_0000286,0.006217
CAND_0000289,0.010860
CAND_0000292,0.000789
CAND_0000295,0.003430
CAND_0000298,0.002834
CAND_0000301,0.002453
CAND_0000304,0.008882
CAND_0000307,0.003363
CAND_0000310,0.001629
CAND_0000313,0.004298
CAND_0000316,0.001661
CAND_0000319,0.010570
CAND_0000322,0.024238
CAND_0000325,0.004265
CAND_0000328,0.007149
CAND_0000331,0.005281
CAND_0000334,0.001478
CAND_0000337,0.002035
CAND_0000340,0.001727
CAND_0000343,0.005281
CAND_0000346,0.004556
CAND_0000349,0.015664
CAND_0000352,0.005427
CAND_0000355,0.003222
CAND_0000358,0.019833
CAND_0000361,0.020100
CAND_0000364,0.003765
CAND_0000367,0.001996
CAND_0000370,0.001957
CAND_0000373,0.000936
CAND_0000376,0.001427
CAND_0000379,0.004905
CAND_0000382,0.019197
CAND_0000385,0.008985
CAND_0000388,0.007548
CAND_0000391,0.000869
CAND_0000394,0.004737
CAND_0000397,0.006098
CAND_0000400,0.006193
CAND_0000403,0.010130
CAND_0000406,0.006667
CAND_0000409,0.000853
CAND_0000412,0.000776
CAND_0000415,0.001531
CAND_0000418,0.003869
CAND_0000421,0.006539
CAND_0000424,0.003312
CAND_0000427,0.005021
CAND_0000430,0.002571
CAND_0000433,0.005708
CAND_0000436,0.002027
CAND_0000439,0.004982
CAND_0000442,0.002673
CAND_0000445,0.004867
CAND_0000448,0.002453
CAND_0000451,0.003456
CAND_0000454,0.002482
CAND_0000457,0.003337
CAND_0000460,0.002444
CAND_0000463,0.000387
CAND_0000466,0.003197
CAND_0000469,0.003884
CAND_0000472,0.003854
CAND_0000475,0.001868
CAND_0000478,0.003915
