final_rank,candidate_id,honeypot_flag
1,CAND_0002025,false
2,CAND_0005538,false
3,CAND_0071974,false
4,CAND_0006567,false
5,CAND_0081846,false
6,CAND_0055905,false
7,CAND_0018499,false
8,CAND_0037980,false
9,CAND_0088025,false
10,CAND_0077337,false
11,CAND_0098846,false
12,CAND_0086022,false
13,CAND_0061257,false
14,CAND_0030468,false
15,CAND_0046064,false
16,CAND_0008425,false
17,CAND_0079387,false
18,CAND_0064326,false
19,CAND_0011687,false
20,CAND_0083307,false
21,CAND_0037566,false
22,CAND_0028793,false
23,CAND_0000031,false
24,CAND_0041669,false
25,CAND_0091909,false
26,CAND_0007009,false
27,CAND_0065878,false
28,CAND_0010257,false
29,CAND_0009691,false
30,CAND_0066999,false
31,CAND_0007412,false
32,CAND_0050876,false
33,CAND_0068811,false
34,CAND_0062247,false
35,CAND_0064904,false
36,CAND_0040887,false
37,CAND_0005649,false
38,CAND_0078002,false
39,CAND_0041610,false
40,CAND_0077285,false
41,CAND_0095528,false
42,CAND_0018549,false
43,CAND_0010685,false
44,CAND_0052335,false
45,CAND_0068351,false
46,CAND_0046525,false
47,CAND_0094759,false
48,CAND_0007411,false
49,CAND_0041611,false
50,CAND_0033861,false
51,CAND_0080766,false
52,CAND_0030031,false
53,CAND_0005260,false
54,CAND_0052328,false
55,CAND_0032515,false
56,CAND_0009024,false
57,CAND_0074735,false
58,CAND_0039383,false
59,CAND_0093193,false
60,CAND_0044883,false
61,CAND_0008239,false
62,CAND_0030953,false
63,CAND_0039838,false
64,CAND_0006557,false
65,CAND_0054123,false
66,CAND_0099401,false
67,CAND_0081053,false
68,CAND_0092278,false
69,CAND_0078492,false
70,CAND_0075249,false
71,CAND_0007460,false
72,CAND_0049896,false
73,CAND_0086151,false
74,CAND_0081686,false
75,CAND_0051615,false
76,CAND_0026532,false
77,CAND_0093912,false
78,CAND_0047721,false
79,CAND_0027801,false
80,CAND_0044855,false
81,CAND_0057563,false
82,CAND_0066376,false
83,CAND_0015578,false
84,CAND_0050454,false
85,CAND_0072660,false
86,CAND_0074225,false
87,CAND_0051004,false
88,CAND_0052682,false
89,CAND_0060072,false
90,CAND_0099806,false
91,CAND_0044222,false
92,CAND_0060054,false
93,CAND_0024620,false
94,CAND_0058575,false
95,CAND_0006418,false
96,CAND_0075574,false
97,CAND_0041568,false
98,CAND_0031593,false
99,CAND_0020708,false
100,CAND_0065195,false
101,CAND_0036863,
102,CAND_0075439,
103,CAND_0079284,
104,CAND_0037944,
105,CAND_0013613,
106,CAND_0061265,
107,CAND_0079064,
108,CAND_0061655,
109,CAND_0089552,
110,CAND_0042100,
111,CAND_0040117,
112,CAND_0054394,
113,CAND_0064270,
114,CAND_0024466,
115,CAND_0011162,
116,CAND_0053695,
117,CAND_0061339,
118,CAND_0027691,
119,CAND_0096142,
120,CAND_0011432,
121,CAND_0022812,
122,CAND_0020877,
123,CAND_0020350,
124,CAND_0053591,
125,CAND_0087630,
126,CAND_0058688,
127,CAND_0042506,
128,CAND_0070398,
129,CAND_0036437,
130,CAND_0076831,
131,CAND_0057701,
132,CAND_0076251,
133,CAND_0018722,
134,CAND_0070485,
135,CAND_0083879,
136,CAND_0014440,
137,CAND_0017960,
138,CAND_0087364,
139,CAND_0084819,
140,CAND_0032807,
141,CAND_0001610,
142,CAND_0003977,
143,CAND_0030348,
144,CAND_0081852,
145,CAND_0069905,
146,CAND_0045250,
147,CAND_0013536,
148,CAND_0076163,
149,CAND_0078042,
150,CAND_0016163,
151,CAND_0096172,
152,CAND_0015528,
153,CAND_0095619,
154,CAND_0009837,
155,CAND_0076904,
156,CAND_0042029,
157,CAND_0030827,
158,CAND_0049538,
159,CAND_0036184,
160,CAND_0029367,
161,CAND_0094056,
162,CAND_0039521,
163,CAND_0012957,
164,CAND_0051630,
165,CAND_0070202,
166,CAND_0092245,
167,CAND_0056881,
168,CAND_0093331,
169,CAND_0043228,
170,CAND_0089546,
171,CAND_0077261,
172,CAND_0045862,
173,CAND_0048166,
174,CAND_0001930,
175,CAND_0054318,
176,CAND_0060315,
177,CAND_0046353,
178,CAND_0000200,
179,CAND_0089249,
180,CAND_0040178,
181,CAND_0065430,
182,CAND_0010541,
183,CAND_0023076,
184,CAND_0040310,
185,CAND_0066035,
186,CAND_0067041,
187,CAND_0083790,
188,CAND_0060538,
189,CAND_0028287,
190,CAND_0089406,
191,CAND_0073633,
192,CAND_0013665,
193,CAND_0067322,
194,CAND_0043829,
195,CAND_0091899,
196,CAND_0000273,
197,CAND_0071321,
198,CAND_0063108,
199,CAND_0042441,
200,CAND_0025640,
201,CAND_0007052,
202,CAND_0046020,
203,CAND_0080465,
204,CAND_0092255,
205,CAND_0052360,
206,CAND_0000165,
207,CAND_0004402,
208,CAND_0098952,
209,CAND_0052706,
210,CAND_0081086,
211,CAND_0015967,
212,CAND_0015581,
213,CAND_0053605,
214,CAND_0077067,
215,CAND_0048558,
216,CAND_0065633,
217,CAND_0034177,
218,CAND_0018094,
219,CAND_0065277,
220,CAND_0074339,
221,CAND_0032089,
222,CAND_0023583,
223,CAND_0093763,
224,CAND_0068932,
225,CAND_0014063,
226,CAND_0082086,
227,CAND_0098454,
228,CAND_0003791,
229,CAND_0065786,
230,CAND_0068410,
231,CAND_0049978,
232,CAND_0005269,
233,CAND_0096104,
234,CAND_0022415,
235,CAND_0054546,
236,CAND_0061175,
237,CAND_0081480,
238,CAND_0023458,
239,CAND_0074317,
240,CAND_0093883,
241,CAND_0004628,
242,CAND_0073204,
243,CAND_0059795,
244,CAND_0017648,
245,CAND_0051219,
246,CAND_0024147,
247,CAND_0072091,
248,CAND_0051486,
249,CAND_0071722,
250,CAND_0094358,
251,CAND_0057736,
252,CAND_0033405,
253,CAND_0084460,
254,CAND_0067401,
255,CAND_0078579,
256,CAND_0087804,
257,CAND_0073007,
258,CAND_0020845,
259,CAND_0043125,
260,CAND_0076995,
261,CAND_0073883,
262,CAND_0035315,
263,CAND_0087006,
264,CAND_0091890,
265,CAND_0086460,
266,CAND_0017590,
267,CAND_0014858,
268,CAND_0076482,
269,CAND_0026424,
270,CAND_0013393,
271,CAND_0062561,
272,CAND_0034164,
273,CAND_0091348,
274,CAND_0060257,
275,CAND_0057162,
276,CAND_0040200,
277,CAND_0063585,
278,CAND_0069773,
279,CAND_0058412,
280,CAND_0049163,
281,CAND_0051593,
282,CAND_0005883,
283,CAND_0073139,
284,CAND_0065991,
285,CAND_0053422,
286,CAND_0030780,
287,CAND_0096823,
288,CAND_0092468,
289,CAND_0025293,
290,CAND_0095972,
291,CAND_0004112,
292,CAND_0015582,
293,CAND_0082489,
294,CAND_0077418,
295,CAND_0022614,
296,CAND_0029671,
297,CAND_0078785,
298,CAND_0051936,
299,CAND_0074648,
300,CAND_0019880,
301,CAND_0070525,
302,CAND_0088602,
303,CAND_0087744,
304,CAND_0096801,
305,CAND_0043676,
306,CAND_0051003,
307,CAND_0021491,
308,CAND_0046132,
309,CAND_0015097,
