candidate_id,cross_encoder_score
CAND_0000002,0.004646
CAND_0000005,0.003707
CAND_0000008,0.001065
CAND_0000011,0.004315
CAND_0000014,0.003235
CAND_0000017,0.001346
CAND_0000020,0.005406
CAND_0000023,0.002492
CAND_0000026,0.004417
CAND_0000029,0.001507
CAND_0000032,0.003260
CAND_0000035,0.005491
CAND_0000038,0.001472
CAND_0000041,0.003930
CAND_0000044,0.003736
CAND_0000047,0.002867
CAND_0000050,0.001356
CAND_0000053,0.002226
CAND_0000056,0.003608
CAND_0000059,0.003736
CAND_0000062,0.003470
CAND_0000065,0.019124
CAND_0000068,0.001661
CAND_0000071,0.005980
CAND_0000074,0.006169
CAND_0000077,0.003456
CAND_0000080,0.001207
CAND_0000083,0.006539
CAND_0000086,0.001235
CAND_0000089,0.005261
CAND_0000092,0.000880
CAND_0000095,0.001294
CAND_0000098,0.001636
CAND_0000101,0.011288
CAND_0000104,0.002067
CAND_0000107,0.004886
CAND_0000110,0.014729
CAND_0000113,0.004150
CAND_0000116,0.011072
CAND_0000119,0.002561
CAND_0000122,0.002511
CAND_0000125,0.001592
CAND_0000128,0.002083
CAND_0000131,0.001912
CAND_0000134,0.003810
CAND_0000137,0.002059
CAND_0000140,0.002261
CAND_0000143,0.001642
CAND_0000146,0.001004
CAND_0000149,0.003930
CAND_0000152,0.003040
CAND_0000155,0.003810
CAND_0000158,0.003324
CAND_0000161,0.000911
CAND_0000164,0.001269
CAND_0000167,0.001972
CAND_0000170,0.000659
CAND_0000173,0.004232
CAND_0000176,0.007403
CAND_0000179,0.003273
CAND_0000182,0.004811
CAND_0000185,0.003636
CAND_0000188,0.002415
CAND_0000191,0.001919
CAND_0000194,0.000761
CAND_0000197,0.005753
CAND_0000200,0.039937
CAND_0000203,0.016466
CAND_0000206,0.005957
CAND_0000209,0.009708
CAND_0000212,0.102484
CAND_0000215,0.004700
CAND_0000218,0.002444
CAND_0000221,0.004503
CAND_0000224,0.000776
CAND_0000227,0.001617
CAND_0000230,0.004182
CAND_0000233,0.004248
CAND_0000236,0.006824
CAND_0000239,0.004134
CAND_0000242,0.020804
CAND_0000245,0.003992
CAND_0000248,0.001129
CAND_0000251,0.021990
CAND_0000254,0.001727
CAND_0000257,0.007816
CAND_0000260,0.002323
CAND_0000263,0.005730
CAND_0000266,0.005620
CAND_0000269,0.003679
CAND_0000272,0.008000
CAND_0000275,0.003099
CAND_0000278,0.001761
CAND_0000281,0.000955
CAND_0000284,0.001179
CAND_0000287,0.001727
CAND_0000290,0.014616
CAND_0000293,0.004166
CAND_0000296,0.006590
CAND_0000299,0.002099
CAND_0000302,0.004592
CAND_0000305,0.000712
CAND_0000308,0.006413
CAND_0000311,0.004905
CAND_0000314,0.003235
CAND_0000317,0.007607
CAND_0000320,0.003416
CAND_0000323,0.043855
CAND_0000326,0.002434
CAND_0000329,0.000981
CAND_0000332,0.002141
CAND_0000335,0.006098
CAND_0000338,0.001681
CAND_0000341,0.005021
CAND_0000344,0.016403
CAND_0000347,0.004023
CAND_0000350,0.001125
CAND_0000353,0.001561
CAND_0000356,0.005021
CAND_0000359,0.004382
CAND_0000362,0.014227
CAND_0000365,0.011778
CAND_0000368,0.000629
CAND_0000371,0.005797
CAND_0000374,0.001036
CAND_0000377,0.001727
CAND_0000380,0.003403
CAND_0000383,0.001405
CAND_0000386,0.005302
CAND_0000389,0.028816
CAND_0000392,0.001714
CAND_0000395,0.006241
CAND_0000398,0.006388
CAND_0000401,0.005261
CAND_0000404,0.003136
CAND_0000407,0.002067
CAND_0000410,0.029535
CAND_0000413,0.003945
CAND_0000416,0.012821
CAND_0000419,0.002912
CAND_0000422,0.117775
CAND_0000425,0.020410
CAND_0000428,0.009126
CAND_0000431,0.005343
CAND_0000434,0.000826
CAND_0000437,0.003273
CAND_0000440,0.002901
CAND_0000443,0.003961
CAND_0000446,0.004417
CAND_0000449,0.003052
CAND_0000452,0.022032
CAND_0000455,0.010328
CAND_0000458,0.004182
CAND_0000461,0.001207
CAND_0000464,0.006488
CAND_0000467,0.003594
CAND_0000470,0.005160
CAND_0000473,0.006027
CAND_0000476,0.002901
CAND_0000479,0.007490
CAND_0000482,0.001449
CAND_0000485,0.001761
CAND_0000488,0.001513
CAND_0000491,0.002801
CAND_0000494,0.004963
CAND_0000497,0.008413
CAND_0000500,0.001980
CAND_0000503,0.004468
CAND_0000506,0.002801
CAND_0000509,0.011823
CAND_0000512,0.011961
CAND_0000515,0.003780
CAND_0000518,0.004118
CAND_0000521,0.000724
CAND_0000524,0.001748
CAND_0000527,0.003751
CAND_0000530,0.001761
CAND_0000533,0.021410
CAND_0000536,0.004451
CAND_0000539,0.002834
CAND_0000542,0.001112
CAND_0000545,0.005427
CAND_0000548,0.001383
CAND_0000551,0.007786
CAND_0000554,0.002758
CAND_0000557,0.000869
CAND_0000560,0.004867
CAND_0000563,0.006027
CAND_0000566,0.004905
CAND_0000569,0.006004
CAND_0000572,0.004365
CAND_0000575,0.002812
CAND_0000578,0.014118
CAND_0000581,0.008916
CAND_0000584,0.005302
CAND_0000587,0.004610
CAND_0000590,0.002856
CAND_0000593,0.007121
CAND_0000596,0.006027
CAND_0000599,0.004023
CAND_0000602,0.004700
CAND_0000605,0.004468
CAND_0000608,0.001235
CAND_0000611,0.005060
CAND_0000614,0.005100
CAND_0000617,0.001555
CAND_0000620,0.002779
CAND_0000623,0.001919
CAND_0000626,0.002305
CAND_0000629,0.002341
CAND_0000632,0.009304
CAND_0000635,0.003087
CAND_0000638,0.005555
CAND_0000641,0.034424
CAND_0000644,0.003099
CAND_0000647,0.004134
CAND_0000650,0.029873
CAND_0000653,0.004417
CAND_0000656,0.003390
CAND_0000659,0.003961
CAND_0000662,0.001346
CAND_0000665,0.029146
CAND_0000668,0.008511
CAND_0000671,0.037257
CAND_0000674,0.013377
CAND_0000677,0.001734
CAND_0000680,0.009708
CAND_0000683,0.010209
CAND_0000686,0.015484
CAND_0000689,0.001120
CAND_0000692,0.011072
CAND_0000695,0.000890
CAND_0000698,0.042563
CAND_0000701,0.003248
CAND_0000704,0.002935
CAND_0000707,0.003004
CAND_0000710,0.000436
CAND_0000713,0.001016
CAND_0000716,0.002067
CAND_0000719,0.003992
CAND_0000722,0.032467
CAND_0000725,0.002812
CAND_0000728,0.002200
CAND_0000731,0.006771
CAND_0000734,0.001138
CAND_0000737,0.001681
CAND_0000740,0.002473
CAND_0000743,0.000507
CAND_0000746,0.001761
CAND_0000749,0.007666
CAND_0000752,0.003580
CAND_0000755,0.006824
CAND_0000758,0.009860
CAND_0000761,0.000863
CAND_0000764,0.002969
CAND_0000767,0.003497
CAND_0000770,0.022457
CAND_0000773,0.022414
CAND_0000776,0.002946
CAND_0000779,0.001604
CAND_0000782,0.009522
CAND_0000785,0.001193
CAND_0000788,0.003854
CAND_0000791,0.003063
CAND_0000794,0.000883
CAND_0000797,0.002453
CAND_0000800,0.001860
CAND_0000803,0.007666
CAND_0000806,0.001216
CAND_0000809,0.003112
CAND_0000812,0.004086
CAND_0000815,0.049497
CAND_0000818,0.007346
CAND_0000821,0.009860
CAND_0000824,0.006169
CAND_0000827,0.003324
CAND_0000830,0.005364
CAND_0000833,0.003443
CAND_0000836,0.002132
CAND_0000839,0.029987
CAND_0000842,0.000738
CAND_0000845,0.070945
CAND_0000848,0.004664
CAND_0000851,0.005041
CAND_0000854,0.006290
CAND_0000857,0.001882
CAND_0000860,0.006931
CAND_0000863,0.002521
CAND_0000866,0.005491
CAND_0000869,0.005041
CAND_0000872,0.004054
CAND_0000875,0.006266
CAND_0000878,0.004682
CAND_0000881,0.013121
CAND_0000884,0.006004
CAND_0000887,0.002473
CAND_0000890,0.001378
CAND_0000893,0.001727
CAND_0000896,0.004348
CAND_0000899,0.004867
CAND_0000902,0.004332
CAND_0000905,0.003124
CAND_0000908,0.001727
