candidate_id,honeypot_flag,hit_count,reasons
CAND_0000001,False,0,
CAND_0000002,False,0,
CAND_0000003,False,0,
CAND_0000004,False,0,
CAND_0000005,False,0,
CAND_0000006,False,0,
CAND_0000007,False,0,
CAND_0000008,False,0,
CAND_0000009,False,0,
CAND_0000010,False,0,
CAND_0000011,False,0,
CAND_0000012,False,0,
CAND_0000013,False,0,
CAND_0000014,False,0,
CAND_0000015,False,0,
CAND_0000016,False,0,
CAND_0000017,False,0,
CAND_0000018,False,0,
CAND_0000019,False,0,
CAND_0000020,False,0,
CAND_0000021,False,0,
CAND_0000022,False,0,
CAND_0000023,False,0,
CAND_0000024,False,0,
CAND_0000025,False,0,
CAND_0000026,False,0,
CAND_0000027,False,0,
CAND_0000028,False,0,
CAND_0000029,False,0,
CAND_0000030,False,0,
CAND_0000031,False,0,
CAND_0000032,False,0,
CAND_0000033,False,0,
CAND_0000034,False,0,
CAND_0000035,False,0,
CAND_0000036,False,0,
CAND_0000037,False,0,
CAND_0000038,False,0,
CAND_0000039,False,0,
CAND_0000040,False,0,
CAND_0000041,False,0,
CAND_0000042,False,0,
CAND_0000043,False,0,
CAND_0000044,False,0,
CAND_0000045,False,0,
CAND_0000046,False,0,
CAND_0000047,False,0,
CAND_0000048,False,0,
CAND_0000049,False,0,
CAND_0000050,False,0,
CAND_0000051,False,0,
CAND_0000052,False,0,
CAND_0000053,False,0,
CAND_0000054,False,0,
CAND_0000055,False,0,
CAND_0000056,False,0,
CAND_0000057,False,0,
CAND_0000058,False,0,
CAND_0000059,False,0,
CAND_0000060,False,0,
CAND_0000061,False,0,
CAND_0000062,False,0,
CAND_0000063,False,0,
CAND_0000064,False,0,
CAND_0000065,False,0,
CAND_0000066,False,0,
CAND_0000067,False,0,
CAND_0000068,False,0,
CAND_0000069,False,0,
CAND_0000070,False,0,
CAND_0000071,False,0,
CAND_0000072,False,0,
CAND_0000073,False,0,
CAND_0000074,False,0,
CAND_0000075,False,0,
CAND_0000076,False,0,
